Epoch: 133/500, Train Loss=0.5145227909, Val Loss=0.5752494165
Epoch: 134/500, Train Loss=0.54177773, Val Loss=0.5644486206
Epoch: 135/500, Train Loss=0.5120774508, Val Loss=0.5580174667
Epoch: 136/500, Train Loss=0.4978067875, Val Loss=0.57215805
Epoch: 137/500, Train Loss=0.4862906337, Val Loss=0.5495508852
Epoch: 138/500, Train Loss=0.4822592735, Val Loss=0.5777234236
Epoch: 139/500, Train Loss=0.5215166807, Val Loss=0.547182472
Epoch: 140/500, Train Loss=0.4734584689, Val Loss=0.5663382411
Epoch: 141/500, Train Loss=0.4732571244, Val Loss=0.547436453
Epoch: 142/500, Train Loss=0.443274796, Val Loss=0.5556693531
Epoch: 143/500, Train Loss=0.505972445, Val Loss=0.5440683308
Epoch: 144/500, Train Loss=0.4911272526, Val Loss=0.5384443459
Epoch: 145/500, Train Loss=0.5158764124, Val Loss=0.5439336981
Epoch: 146/500, Train Loss=0.5106133819, Val Loss=0.5648397349
Epoch: 147/500, Train Loss=0.4417697787, Val Loss=0.5802200039
Epoch: 148/500, Train Loss=0.5254327059, Val Loss=0.5353244004
Epoch: 149/500, Train Loss=0.521610558, Val Loss=0.5421733459
Epoch: 150/500, Train Loss=0.4344807267, Val Loss=0.542696178
Epoch: 151/500, Train Loss=0.4757874012, Val Loss=0.5439995556
Epoch: 152/500, Train Loss=0.4530001879, Val Loss=0.5498197334
Epoch: 153/500, Train Loss=0.4567345977, Val Loss=0.5437344596
Epoch: 154/500, Train Loss=0.5156890154, Val Loss=0.5223804315
Epoch: 155/500, Train Loss=0.5115120411, Val Loss=0.5384848288
Epoch: 156/500, Train Loss=0.5087581873, Val Loss=0.5564277229
Epoch: 157/500, Train Loss=0.5218935013, Val Loss=0.5599270037
Epoch: 158/500, Train Loss=0.4628975391, Val Loss=0.5233323943
Epoch: 159/500, Train Loss=0.4874654412, Val Loss=0.5373750897
Epoch: 160/500, Train Loss=0.4541714787, Val Loss=0.5351388795
Epoch: 161/500, Train Loss=0.4898331165, Val Loss=0.5381827553
Epoch: 162/500, Train Loss=0.4807775617, Val Loss=0.5248430683
Epoch: 163/500, Train Loss=0.4641424417, Val Loss=0.5379116422
Epoch: 164/500, Train Loss=0.4370624423, Val Loss=0.5514392086
Epoch: 165/500, Train Loss=0.4852728248, Val Loss=0.5373436411
Epoch: 166/500, Train Loss=0.515373826, Val Loss=0.5391548673
Epoch: 167/500, Train Loss=0.434163928, Val Loss=0.5262572623
Epoch: 168/500, Train Loss=0.4577538371, Val Loss=0.5594257656
Epoch: 169/500, Train Loss=0.4395181537, Val Loss=0.5225548574
Epoch: 170/500, Train Loss=0.4955229163, Val Loss=0.5271170196
Epoch: 171/500, Train Loss=0.3865702748, Val Loss=0.5089533272
Epoch: 172/500, Train Loss=0.4867165089, Val Loss=0.5268292285
Epoch: 173/500, Train Loss=0.4745699763, Val Loss=0.5273598745
Epoch: 174/500, Train Loss=0.4625079036, Val Loss=0.5379042711
Epoch: 175/500, Train Loss=0.5299672484, Val Loss=0.504622678
Epoch: 176/500, Train Loss=0.4891719222, Val Loss=0.5076860927
Epoch: 177/500, Train Loss=0.4359682798, Val Loss=0.5278705359
Epoch: 178/500, Train Loss=0.4586722851, Val Loss=0.5142873781
Epoch: 179/500, Train Loss=0.4685776234, Val Loss=0.495317706
Epoch: 180/500, Train Loss=0.4520100951, Val Loss=0.5026114725
Epoch: 181/500, Train Loss=0.4919583201, Val Loss=0.5229524885
Epoch: 182/500, Train Loss=0.468716979, Val Loss=0.5221349285
Epoch: 183/500, Train Loss=0.4970928431, Val Loss=0.525563399
